金阁寺,作者:(日)三岛由纪夫
THIEME解剖图谱:颈部与内脏(英文影印版),作者:申克
一九八四,作者:（英）奥威尔　著，董乐山　译
S.,作者:Doug Dorst
Never Forget,作者:Mitchell Fink
精選法漢漢法詞典,作者:
Better: A Surgeon's Notes on Performance開刀房裡的沉思: 一位外科醫師的精進,作者:GAWANDE, ATUL葛文德
头部与神经系统解剖图谱（英文影印版）,作者:（德）许恩基（schuenke，m），（德）舒尔特（schulte，e），（德）舒马赫（schuma
The Da Vinci Code (Special Illustrated Collector's Ed.)達文西密碼,作者:Brown, Dan丹．布朗
THIEME解剖图谱-解剖总论和骨骼肌肉系统(英文影印版),作者:许恩基 (Schuenke M.)
魔戒前传/小矮人历险记,作者:[英国] 托尔金
On Call in Hell,作者:Jadick, Cdr. Richard Hayden, Thomas
张迁碑,作者:
连城诀,作者:金庸
晓寺,作者:(日) 三岛由纪夫
消化外科手术图谱（上卷）,作者:卡梅隆 Corinne Sandone (著) 陈规划(译)
怀素草书三帖,作者:方传鑫
眼科学（七版/本科临床/十一五规划/配光盘）,作者:赵堪兴 杨培增
胰腺癌,作者:（美）卡梅伦　著，赵平　译
唐顏真卿書東方畫贊碑,作者:《歷代碑帖法書選》編輯組
临床诊断学,作者:欧阳钦　主编
实验诊断学,作者:王鸿利 主编
病理生理学,作者:李桂源　主编
精神病学（六版/本科临床/十一五规划/配光盘）,作者:郝伟 主编
病理学,作者:陈杰 等主编
全科医学概论,作者:杨秉辉　主编
传染病学（七版/本科临床/十一五规划/配光盘）,作者:杨绍基 等主编
神经病学——供8年制及7年制临床医学等专业用,作者:吴江 主编
妇产科学,作者:乐杰 主编
急诊医学,作者:沈洪
内科学（七版/本科临床/十一五规划/配光盘）,作者:陆再英　等主编
耳鼻咽喉头颈外科科学（七版配光盘）,作者:田勇泉　主编
外科学,作者:郑树森
医学免疫学(第5版),作者:朱大年 雄思东
心电图图解速成讲授,作者:韩国栋
人体解剖学 human anatomy （英文版）,作者:方秀斌，胡海涛 主编
皮肤性病学,作者:张学军 主编
局部解剖学,作者:王怀经　等主编
组织学与胚胎学（供8年制及7年制临床医学等专业用）,作者:高英茂 主编
生理学（二版/八年制/配光盘）,作者:姚泰　主编
